"ID","cntry","cntry_code","year","gdppc","gdppc_lag2","gdppc_lag1","pop","unemp","lifeexp","popden","rural","tourarriv","export","import","grossexp","inflation","fertility","industry","biz","evecount","gdppcgr","gdppcgr_lag2","gdppcgr_lag1","TreatBRA","TreatGBR","TreatCAN","TreatZAF","expimp"
7,"Czech Republic","CZE",1996,23761.82343,21425.61025,22772.54294,10315241,3.894000053,73.71463415,133.4961,25.487,4558000,38.31683,43.17642,104.8596,9.973287,1.18,36.72829,2.142662876,0,4.344181046,2.872143517,6.286554633,0,0,0,0,0.887448056138049
8,"Denmark","DNK",1996,44118.47221,42069.8958,43118.38202,5263074,6.843999863,75.59146341,124.0413,14.994,2125000,37.06738,31.40388,94.3365,2.014184,1.75,22.28817,0.412212569,0,2.319405659,4.977347129,2.492248211,0,0,0,0,1.18034395749825
9,"Estonia","EST",1996,13588.53066,11991.11665,12759.70645,1415594,9.914999962,69.61219512,33.39453,29.889,665000,61.35424,71.78593,108.0506,22.538,1.37,26.59099,3.469557285,0,6.495635877,0.483692794,6.409660105,0,0,0,0,0.854683362046017
10,"Finland","FIN",1996,32577.26261,30367.84791,31528.07209,5124573,15.57199955,76.69341463,16.8245,18.777,1724000,36.31947,29.40254,93.94512,-0.0784,1.78,28.84026,0.569873751,0,3.327797842,3.516617538,3.820567631,0,0,0,0,1.23524940362295
11,"France","FRA",1996,35695.90571,34719.80126,35323.40513,59753100,12.36699963,77.95365854,109.1249,24.918,62406000,23.05556,21.27368,98.21803,1.358078,1.75,21.67519,1.36838947,0,1.054543233,1.978040453,1.738500356,0,0,0,0,1.08375983844826
12,"Germany","DEU",1996,39510.08503,38821.81538,39301.97147,81914831,8.824999809,76.67317073,234.6525,25.867,15205000,22.86003,22.14559,99.28557,0.587181,1.3,28.85593,0.624360056,0,0.529524483,2.043489907,1.236820292,0,0,0,0,1.03226105062001
13,"Greece","GRC",1996,25727.91011,24721.07038,25122.49734,10608800,9.654999733,77.68536585,82.30256,27.761,9233000,14.28696,23.20928,108.9223,7.6357,1.26,18.86539,0.725345058,0,2.409843097,1.490558977,1.62382517,0,0,0,0,0.615571012974121
14,"Hungary","HUN",1996,16773.29851,16462.23714,16730.72266,10311238,10.02200031,70.32878049,114.7478,34.917,NA,41.88279,41.40942,99.52663,21.93028,1.46,25.41211,7.048915981,0,0.254477053,3.088168308,1.630917597,0,0,0,0,1.01143145690039
15,"Iceland","ISL",1996,35062.1415,33854.22607,33710.32994,268916,3.599999905,78.77780488,2.682454,8.203,201000,35.74068,35.24878,99.50811,2.486304,2.12,21.39468,1.120992605,0,4.010081082,2.714620503,-0.425046313,0,0,0,0,1.01395509291385
16,"Ireland","IRL",1996,34455.07749,29642.00221,32331.64947,3637510,11.71700001,75.83170732,52.80171,41.827,5289000,74.81835,63.88539,90.18426,2.258055,1.88,28.22066,3.449474516,0,6.567645188,5.33977108,9.073770521,0,0,0,0,1.17113396349306
17,"Israel","ISR",1996,29146.8174,27444.07327,28485.86867,5692000,8.454999924,78.10487805,263.0314,9.057,2100000,27.0513,34.21361,107.1623,10.57357,2.9,24.7605,1.27013886,0,2.320268841,4.681958504,3.796066942,0,0,0,0,0.790659038902939
18,"Italy","ITA",1996,39609.24935,38027.58366,39124.75639,56860281,11.8739996,78.52195122,193.33,33.018,34080000,23.70468,19.17402,95.46932,4.507623,1.2,25.92162,0.270410349,0,1.23832837,2.130215482,2.88520233,0,0,0,0,1.23629160708083
19,"Japan","JPN",1996,34968.69265,33222.3081,34003.24142,125757000,3.400000095,80.2002439,345.0123,21.855,3837000,9.479069,9.045431,99.56636,-0.49649,1.425,34.4996,-0.000790357,1,2.839291738,0.649582771,2.350629364,0,0,0,0,1.04794000418554
20,"Korea, Rep.","KOR",1996,18948.78796,16390.98356,17779.89517,45524681,2.048000097,74.15121951,471.954,21.338,3684000,24.80197,27.852,102.9985,4.255408,1.574,35.44806,0.456037173,0,6.867624488,8.174764151,8.517153045,0,0,0,0,0.890491526640816
21,"Latvia","LVA",1996,9844.088267,9529.183485,9492.153507,2457222,20.70000076,68.77658537,39.50772,31.35,565000,40.57313,49.61646,109.0433,12.40415,1.16,26.66035,5.567062969,0,3.707638735,3.707638735,3.707638735,0,0,0,0,0.817735283815089
22,"Lithuania","LTU",1996,11306.69204,10671.47194,10671.47194,3601613,16.39999962,70.10804878,57.46032,32.775,832000,41.94043,51.23392,109.2935,18.98183,1.49,27.09779,1.817507675,0,5.952506849,5.952506849,5.952506849,0,0,0,0,0.818606696501068
23,"Luxembourg","LUX",1996,77092.57307,77065.57013,77078.90255,414225,3.286000013,76.5195122,179.5473,17.175,724000,106.5243,83.9079,77.38364,4.487872,1.77,17.59347,NA,0,0.017735744,2.416629972,0.01730011,0,0,0,0,1.26953838673117
24,"Mexico","MEX",1996,15583.24959,16091.17696,14830.95745,93147044,5.25,72.925,47.91638,26.33,21395000,26.00501,24.41419,96.56449,26.54551,2.946,33.94722,2.235071889,0,5.072444833,3.159059689,-7.831742255,0,0,0,0,1.06515964691026
25,"Netherlands","NLD",1996,40883.40958,38675.39359,39684.03756,15530498,6.421000004,77.43560976,460.0266,26.36,6580000,57.38847,51.3445,93.95604,1.040234,1.53,23.67675,3.68584505,0,3.022303393,2.342168133,2.607973402,0,0,0,0,1.11771406869285
26,"New Zealand","NZL",1996,29546.6517,28070.77101,28969.0036,3732000,6.289999962,76.78780488,14.17341,14.3,1475000,28.34888,26.76729,98.41841,1.384079,1.96,25.06207,5.586784108,0,1.990317113,3.731148014,3.199711705,0,0,0,0,1.05908666884096
27,"Norway","NOR",1996,50583.99653,46717.75693,48407.16194,4381336,5.035999775,78.1504878,11.99564,25.938,2746000,39.94237,31.17813,91.23576,4.261513,1.89,30.96878,2.34068795,1,4.496926706,4.458953888,3.616194623,0,0,0,0,1.28110217001469
28,"Poland","POL",1996,13184.80895,11648.43882,12441.32462,38624370,12.35400009,72.24634146,126.1039,38.462,19410000,22.09465,23.381,101.2866,17.96236,1.59,32.24627,2.813504413,0,5.97597347,5.070855514,6.806798922,0,0,0,0,0.944983105940721
29,"Portugal","PRT",1996,26351.93285,24591.11251,25555.6678,10063945,7.297999859,75.26097561,109.9885,48.23,4567000,26.54846,33.66134,107.1129,2.390985,1.44,25.43941,1.281453735,0,3.115806065,0.693517694,3.922373547,0,0,0,0,0.788692904085221
30,"Slovak Republic","SVK",1996,14480.05496,12896.08716,13609.78447,5373361,11.3409996,72.65365854,111.7123,43.524,951000,49.29276,62.52527,113.2325,4.53846,1.47,28.59691,1.256314336,0,6.394447207,5.787846123,5.534215929,0,0,0,0,0.788365408098198
31,"Slovenia","SVN",1996,22280.57329,20728.86288,21575.57805,1988628,6.907999992,74.45853659,98.74022,49.351,832000,46.1309,47.37843,101.2475,11.45246,1.28,30.06709,0.805775434,0,3.267561327,5.449415908,4.084715914,0,0,0,0,0.97366881933403
32,"Spain","ESP",1996,29749.76014,28444.10137,29099.72569,39889852,22.1420002,78.1204878,79.86916,24.062,34027000,23.03236,23.21286,100.1805,3.460129,1.14,28.07914,1.525295224,0,2.23381642,1.896906876,2.304957061,0,0,0,0,0.992224137827049
33,"Sweden","SWE",1996,35033.79997,33378.98257,34531.95068,8840998,9.546999931,78.95902439,21.54554,16.086,2376000,36.02887,30.50964,94.73754,1.008647,1.6,26.22118,1.882433673,0,1.417924238,3.1939554,3.391269115,0,0,0,0,1.18090118401921
